Epoch,Composite Loss,output_1_loss_Loss_CantileverPINN,output_1_loss_Loss_CantileverPINN_tuned,output_2_loss_Loss_CantileverPINN,output_2_loss_Loss_CantileverPINN_tuned,output_3_loss_Loss_CantileverPINN,output_3_loss_Loss_CantileverPINN_tuned,output_4_loss_Loss_CantileverPINN,output_4_loss_Loss_CantileverPINN_tuned,output_5_loss_Loss_CantileverPINN,output_5_loss_Loss_CantileverPINN_tuned,output_6_loss_Loss_CantileverPINN,output_6_loss_Loss_CantileverPINN_tuned
0,0.0009298271033912897,0.00046491355169564486,0.00021299753279890865,0.0002712010173127055,5.937872992944904e-05,1.2271900232008193e-05,0.00015359559620264918,0.0001538192736916244,2.104484764231529e-08,1.876824717328418e-05,5.810131264993856e-10,8.853096005623229e-06,1.1693927076672495e-11
1,4.616802470991388e-05,2.3084010535967536e-05,5.9377533034421504e-05,1.7035312339430675e-05,5.937651440035552e-05,4.6709722312243684e-08,7.696640261158506e-15,4.795360268872173e-07,1.7551858404185605e-12,2.8067806852050126e-06,8.744636126323257e-10,2.715692744459375e-06,2.1231670935262237e-11
2,3.868786370730959e-05,1.9343931853654794e-05,5.937436071690172e-05,1.3515822502085939e-05,5.9372789110057056e-05,8.661265837872634e-08,1.6712263287122463e-14,1.928773599502165e-06,1.6006813929880792e-12,2.6844659259950276e-06,1.4435633799436687e-09,1.1282579635008005e-06,4.221341678989354e-11
3,2.6918580260826275e-05,1.3459290130413137e-05,5.936879097134806e-05,9.263908395951148e-06,5.936602974543348e-05,6.625347737099219e-08,1.2365965456478945e-13,1.774977476998174e-06,1.5024795643747701e-12,1.947333203133894e-06,2.6032225264316367e-09,4.068172643201251e-07,8.916058169550212e-11
4,3.6619592719944194e-05,1.8309794540982693e-05,7.704066229052842e-05,1.0207659215666354e-05,5.935020453762263e-05,1.793510051584235e-07,1.768480069586076e-05,6.524814580188831e-06,2.6178497303935844e-12,1.1253165439484292e-06,5.477781783724822e-09,2.72659320899038e-07,2.1436540043051622e-10
5,1.8550086679169908e-05,9.275043339584954e-06,6.2856575823389e-05,5.219179456616985e-06,5.928529935772531e-05,1.0288930241131311e-07,3.5543550893635256e-06,3.294729367553373e-06,1.3985331989707639e-12,5.420895945462689e-07,1.6266396229980273e-08,1.1616157991056753e-07,6.388072293361802e-10
6,1.6079264241852798e-05,8.039632120926399e-06,6.68402572046034e-05,4.196514964860398e-06,5.896479342482053e-05,1.5908980799395067e-07,7.805561835994013e-06,3.3262210763496114e-06,1.104441733380812e-12,2.7709296546163387e-07,6.835007582139951e-08,8.071433654777138e-08,1.5278152076803053e-09
7,1.651821003179066e-05,8.25910501589533e-06,6.963313353480771e-05,3.895358986483188e-06,5.773593875346705e-05,1.434076040141008e-07,1.1623768841673154e-05,3.950917744077742e-06,2.0119544918983934e-11,1.8561718206910882e-07,2.7265218704997096e-07,8.380126814699906e-08,7.20120296726634e-10
8,3.344400101923384e-05,1.6721998690627515e-05,6.18255216977559e-05,6.639068487857003e-06,5.4200601880438626e-05,3.9129128026615945e-07,6.7983128246851265e-06,9.189508091367316e-06,1.2131884385979674e-10,3.08848854047028e-07,7.907983103905281e-07,1.9328923883676907e-07,3.5670474574089894e-08
9,3.8528778532054275e-06,1.9264389266027138e-06,5.769566269009374e-05,1.1570966762519674e-06,4.65108169009909e-05,5.3596746596440425e-08,9.132288141699973e-06,6.413658866222249e-07,3.2006972072728956e-10,5.917355849760497e-08,1.5565117337246193e-06,1.5207094250513364e-08,4.956695534019673e-07
10,1.1660280506475829e-05,5.830140253237914e-06,4.68464131699875e-05,2.494648470019456e-06,3.5340734029887244e-05,1.6396106161664648e-07,7.178557552833809e-06,3.0010776299604913e-06,4.4961293022005577e-10,1.0706101249979838e-07,1.9981803234259132e-06,6.339213598494098e-08,2.328509935978218e-06
11,1.1916174116777256e-05,5.958087513135979e-06,4.178494054940529e-05,2.314988023499609e-06,2.641110768308863e-05,2.609902765016159e-07,8.846000127959996e-06,3.1949243748385925e-06,2.507914431681968e-10,1.1986969639110612e-07,1.648917077545775e-06,6.731426083206316e-08,4.878662821283797e-06
12,1.6514371964149177e-05,8.257185982074589e-06,3.634716267697513e-05,3.127400304947514e-06,2.266676710860338e-05,3.5675842013915826e-07,7.362195901805535e-06,4.497710961004486e-06,1.3824252853567032e-10,1.7577602307028428e-07,1.2119660368625773e-06,9.954057134109462e-08,5.106098342366749e-06
13,7.21668902770034e-06,3.60834451385017e-06,3.476968049653806e-05,1.5262512533809058e-06,2.0849865904892795e-05,1.342850595165146e-07,9.239381142833736e-06,1.8260985825691023e-06,4.006949494428369e-10,7.874970009424942e-08,1.0621985211400897e-06,4.295824851396901e-08,3.617830088842311e-06
14,6.183734967635246e-06,3.091867483817623e-06,2.880585270759184e-05,1.233205239259405e-06,1.87950863619335e-05,2.3686131100930652e-07,6.899226264067693e-06,1.5230783674269333e-06,1.3985329561094773e-09,6.555919185302628e-08,9.757494581208448e-07,3.316286267818214e-08,2.1344012566260062e-06
15,1.1106690180895384e-05,5.5533441809529904e-06,2.3185730242403224e-05,1.968140622921055e-06,1.5032355804578401e-05,2.799501999106724e-07,6.447225132433232e-06,3.1015601962280925e-06,4.814065146518942e-09,1.3834232959197834e-07,9.491393484495347e-07,6.535017149644773e-08,7.521641123275913e-07
16,2.3571787096443586e-05,1.1785893548221793e-05,1.873749351943843e-05,4.423759037308628e-06,8.676754987391178e-06,2.5669353931334626e-07,8.912758858059533e-06,6.641747859248426e-06,1.3793409969764525e-08,3.116487619081454e-07,1.1027397022189689e-06,1.5204187775452738e-07,3.144579707736739e-08
17,2.2290096239885315e-06,1.1145049256811035e-06,9.805723493627738e-06,5.179555273571168e-07,3.491638153718668e-06,3.030814070825727e-07,5.208208222029498e-06,2.588856773400039e-07,1.934078674992179e-08,2.622920369788062e-08,9.974235126719577e-07,8.352665226141198e-09,8.910623705560283e-08
18,8.58322800922906e-06,4.29161400461453e-06,1.0181378456763923e-05,1.2039979537803447e-06,1.8261121113027912e-06,5.576246167038335e-07,7.709091732976958e-06,2.3778504782967502e-06,1.1438853420031592e-08,1.0302039754606085e-07,5.065024311079469e-07,4.9120536971258844e-08,1.2823234385450633e-07
19,9.415081876795739e-06,4.707540483650519e-06,8.85617464518873e-06,1.2945234857397736e-06,1.5048166233100346e-06,7.326043487410061e-07,6.993408533162437e-06,2.520911493775202e-06,5.3614370720822535e-09,1.0011123663389299e-07,2.4077209559436596e-07,5.939234881680022e-08,1.1181534631532486e-07
20,2.9494894988602027e-06,1.474744863116939e-06,8.41557266539894e-06,5.70767724639154e-07,1.2930324828630546e-06,7.298390158894108e-08,6.881180524942465e-06,7.728952482466411e-07,3.3343541261388054e-09,4.184302682119778e-08,1.544809720144258e-07,1.625461543142137e-08,8.354223979267772e-08
21,8.28689917398151e-06,4.143449586990755e-06,9.312680958828423e-06,1.1697364925566944e-06,1.1397678463254124e-06,2.8158532927591295e-07,8.001422429515515e-06,2.5216099857061636e-06,2.304562540800248e-09,1.1324543436330714e-07,1.1113441900079124e-07,5.727168783664638e-08,5.804465530445668e-08
22,6.5784370235633105e-06,3.2892185117816553e-06,6.607984687434509e-06,9.099835551751312e-07,1.0383052995166508e-06,5.003470846531854e-07,5.449639957078034e-06,1.7557606497575762e-06,1.5673394804238683e-09,8.276094121129063e-08,8.086069414048325e-08,4.036753509240043e-08,3.760758104931483e-08
23,5.929985491093248e-06,2.9649929729202995e-06,7.714626008237246e-06,7.662139296371606e-07,9.578313893143786e-07,3.414593265915755e-07,6.66249025016441e-06,1.743956431710103e-06,1.309641950442142e-09,7.596644024943089e-08,6.578422784286886e-08,3.739555509696402e-08,2.7204551500403795e-08
24,6.926523838046705e-06,3.4632619190233527e-06,7.174267466325546e-06,8.275948744085326e-07,9.05757701730181e-07,3.768923875213659e-07,6.196916274348041e-06,2.122260184478364e-06,9.907322739977076e-10,9.231033715195736e-08,5.136325498256156e-08,4.420607879751515e-08,1.9245669946599264e-08
25,1.4280541108746547e-05,7.140270554373274e-06,7.207827366073616e-06,1.573571580593125e-06,8.642966804472962e-07,4.6129770225888933e-07,6.284164555836469e-06,4.801230716111604e-06,8.527404338209976e-10,2.0083146523575124e-07,4.414112453332564e-08,1.033409944284358e-07,1.437139474091964e-08
26,1.3159611853552633e-06,6.579805358342128e-07,7.494076271541417e-06,3.6289210925133375e-07,8.30600811241311e-07,2.2566534596535348e-07,6.613642199226888e-06,4.838541300955512e-08,7.237876409327271e-10,1.7050448164468435e-08,3.7273419906114214e-08,3.9874348267687765e-09,1.1828627854981733e-08
27,7.63583739171736e-06,3.817918241111329e-06,6.9107622948649805e-06,7.727059596618346e-07,8.030087883525994e-07,7.625593525517615e-07,6.063772161724046e-06,2.154961748601636e-06,6.843048350191339e-10,8.357296366057199e-08,3.338022125376483e-08,4.411922560620951e-08,9.918753818283221e-09
28,2.255723757116357e-06,1.1278618785581784e-06,7.299175194930285e-06,4.0509942778044206e-07,7.781981707921659e-07,2.8674193686129e-07,6.482062417489942e-06,3.962117318678793e-07,6.175995825863367e-10,2.6095285932115075e-08,3.003963655601183e-08,1.3713748359123201e-08,8.250088612271611e-09
29,4.528155386651633e-06,2.2640776933258167e-06,5.259641056909459e-06,4.446164325599966e-07,7.541432864854869e-07,3.437686189045053e-07,4.468088718567742e-06,1.374589373881463e-06,6.287512177571841e-10,7.618022124233903e-08,2.8136174279325132e-08,2.4922645280867073e-08,8.635813841806339e-09
30,5.259058070805622e-06,2.6295292627764866e-06,7.212589025584748e-06,5.765818968939129e-07,7.371000378952886e-07,4.857572548644384e-07,6.442459834943293e-06,1.473160750720126e-06,6.070356994847259e-10,6.316180645171698e-08,2.5187299357298798e-08,3.0867273181911514e-08,7.2272721141075635e-09
31,3.9728934098093305e-06,1.9864467049046652e-06,7.0745995799370576e-06,4.120815049191151e-07,7.179222052400291e-07,3.5199730064050527e-07,6.3249444792745635e-06,1.1395776482459041e-06,6.018092135740005e-10,6.052157885960696e-08,2.3914283886483645e-08,2.226787643166972e-08,7.218026620847695e-09
32,5.554838935495354e-06,2.7774196951213526e-06,5.781139407190494e-06,5.093186246085679e-07,7.012833975750254e-07,5.552467428060481e-07,5.050429535913281e-06,1.6059968857007334e-06,4.945859277682985e-10,7.512600319614648e-08,2.24033467333129e-08,3.173116880361704e-08,6.528206863976038e-09
33,4.761021045851521e-06,2.3805105229257606e-06,6.436750481952913e-06,4.3322964415892784e-07,6.851748821645742e-07,5.404456260293955e-07,5.722265541407978e-06,1.321708850809955e-06,5.436913141920741e-10,5.9441511268687464e-08,2.209652905094117e-08,2.5684963489425172e-08,6.66489130551895e-09
34,3.6654585073847556e-06,1.8327292536923778e-06,6.331867552944459e-06,3.80759928475527e-07,6.714669780194527e-07,2.9859685923838697e-07,5.633132332150126e-06,1.0771544793897192e-06,5.599388730459509e-10,5.5054680814237145e-08,2.0374686826585275e-08,2.116279063102411e-08,6.329011537076212e-09
35,4.760799129144289e-06,2.3803995645721443e-06,5.938132289884379e-06,4.574412457714061e-07,6.574026656380738e-07,5.77540731683257e-07,5.254177267488558e-06,1.2575009122883785e-06,4.857814706049624e-10,6.202822078194004e-08,1.985554831662739e-08,2.588773284628587e-08,6.208463965151623e-09
36,3.6385745261213742e-06,1.8192872630606871e-06,5.3756557463202626e-06,3.6239262612980383e-07,6.457437962126278e-07,2.878633154068666e-07,4.704230377683416e-06,1.0931195220109657e-06,5.553487669729407e-10,5.363244426348501e-08,1.902704305223324e-08,2.2279332156927012e-08,6.0991460770765116e-09
37,5.2021332521690056e-06,2.6010666260845028e-06,5.478122602653457e-06,4.412912346651865e-07,6.333127089419577e-07,5.803541966997727e-07,4.819322384719271e-06,1.476625925533881e-06,4.660317687310567e-10,7.29686320255496e-08,1.8759177322635878e-08,2.982605806778338e-08,6.261819507358268e-09
38,3.4631893868208863e-06,1.7315946934104431e-06,6.428404049074743e-06,3.3491639328531164e-07,6.226432560652029e-07,5.348342142497131e-07,5.781233539892128e-06,7.983996397342707e-07,5.45567702125993e-10,4.431070266264214e-08,1.7871583324335916e-08,1.9133416628847044e-08,6.109031502887774e-09
39,4.2368883441668e-06,2.1184441720834e-06,5.847723969054641e-06,4.349306550466281e-07,6.137465220490412e-07,3.449576979619451e-07,5.211203188082436e-06,1.2458285709726624e-06,4.774898254567006e-10,6.456815526689752e-08,1.678946404126691e-08,2.8156957654346115e-08,5.498840494055912e-09
40,4.091636128578102e-06,2.045818064289051e-06,5.912387678108644e-06,3.630157152656466e-07,6.019408260726777e-07,5.187213218960096e-07,5.28684540768154e-06,1.0891660622291965e-06,3.9722580780221506e-10,5.226334920394038e-08,1.7112892436443872e-08,2.265208109974992e-08,6.082641945681644e-09
41,2.8485042093961965e-06,1.4242521046980983e-06,5.256011718302034e-06,2.864198620500247e-07,5.938318281550892e-07,4.0647935861670703e-07,4.639429789676797e-06,6.751797627657652e-07,5.160621374677987e-10,4.013261190038975e-08,1.6541239489242798e-08,1.6041123984678052e-08,5.694588800508882e-09
42,5.560266799875535e-06,2.7801333999377675e-06,4.978888227924472e-06,4.810520408682351e-07,5.852224944646878e-07,5.816464749841543e-07,4.372172952571418e-06,1.6027562423914787e-06,4.371736306296725e-10,7.830164605593382e-08,1.55103414556379e-08,3.637652667975999e-08,5.5441553570290125e-09
43,2.3434683953382773e-06,1.1717341976691387e-06,5.394069830799708e-06,2.5640289891271095e-07,5.768798700955813e-07,4.1429694874750567e-07,4.795388122147415e-06,4.583269799240952e-07,5.438177685945789e-10,2.983342994866689e-08,1.547927475087363e-08,1.2873782928579658e-08,5.776260358913987e-09
44,4.6818549890303984e-06,2.3409277218888747e-06,5.140399935044115e-06,4.23869067844862e-07,5.694340643458418e-07,4.674509170854435e-07,4.549513505480718e-06,1.3511272527466645e-06,5.308180561769404e-10,6.704743782393052e-08,1.5383502471877364e-08,3.1432449532076134e-08,5.535939706646786e-09
45,3.9399978959409054e-06,1.9699989479704527e-06,5.609535492112627e-06,3.3092646845034324e-07,5.62576417451055e-07,5.096600261822459e-07,5.025984137319028e-06,1.0514495443203487e-06,5.935023028591502e-10,5.635867239561776e-08,1.4804670378509854e-08,2.1603964839300716e-08,5.581138662336116e-09
