Sample,X_train
1,[0.24718319]
2,[0.47925369]
3,[1.48659466]
4,[0.91670615]
5,[1.26262516]
6,[1.96332838]
7,[1.36923669]
8,[0.57924965]
9,[1.19173462]
10,[0.64512827]
11,[2.00951816]
12,[1.33316885]
13,[0.15186823]
14,[1.76064331]
15,[1.70931214]
16,[1.43547348]
17,[0.40233106]
18,[0.6737619]
19,[2.07642247]
20,[2.23932998]
21,[0.59966242]
22,[2.49867986]
23,[2.30374882]
24,[0.58147446]
25,[2.19193209]
26,[1.83182213]
27,[2.3372727]
28,[0.32277333]
29,[1.82913745]
30,[0.72930646]
31,[1.51247924]
32,[0.04272601]
33,[1.48975739]
34,[2.07714369]
35,[0.80254274]
36,[0.88911119]
37,[1.36262913]
38,[1.84316037]
39,[0.50063893]
40,[2.25110405]
41,[0.42221298]
42,[1.01674439]
43,[0.43943568]
44,[1.07103208]
45,[2.3875872]
46,[0.21832269]
47,[0.61266345]
48,[2.33145466]
49,[1.40217464]
50,[1.63347742]
51,[1.14760558]
52,[0.83306373]
53,[0.79607178]
54,[1.94310073]
55,[0.23721517]
56,[1.0526911]
57,[1.00500012]
58,[2.41499318]
59,[0.78612362]
60,[1.39654871]
61,[0.30499748]
62,[2.17967222]
63,[0.45217171]
64,[1.32771939]
65,[1.09517086]
66,[0.35884781]
67,[0.21883734]
68,[1.20007022]
69,[0.38830076]
70,[0.42997293]
71,[0.21868448]
72,[1.32945083]
73,[0.97618316]
74,[0.40423184]
75,[1.85283393]
76,[1.27538985]
77,[0.07883289]
78,[1.10601126]
79,[1.00104472]
80,[0.64172321]
81,[0.31598957]
82,[0.09746886]
83,[0.68310644]
84,[0.11108382]
85,[1.93030968]
86,[2.36779877]
87,[1.81933976]
88,[1.86692062]
89,[1.21961458]
90,[0.56450018]
91,[1.23923055]
92,[1.11639633]
93,[2.44693691]
94,[1.79702707]
95,[0.69241979]
96,[0.85726182]
97,[2.46947147]
98,[0.63962345]
99,[0.03147219]
100,[0.09114258]
101,[1.99577582]
102,[1.14550855]
103,[0.47811774]
104,[1.57103805]
105,[1.21304649]
106,[0.38490693]
107,[2.08646246]
108,[2.01874796]
109,[0.61405323]
110,[1.71500071]
111,[2.43087055]
112,[2.38817172]
113,[2.10574742]
114,[1.44884629]
115,[1.78472205]
116,[2.09854604]
117,[0.95904654]
118,[1.49727608]
119,[1.75808752]
120,[1.25393155]
121,[0.08989997]
122,[0.87298435]
123,[1.78522659]
124,[2.03182729]
125,[0.07652717]
126,[1.37321126]
127,[1.35116792]
128,[2.39318031]
129,[0.4712985]
130,[2.39468982]
131,[1.17642828]
132,[1.28014139]
133,[2.04835173]
134,[1.34008902]
135,[1.1040419]
136,[1.31185364]
137,[2.38049578]
138,[0.15144271]
139,[1.46294125]
140,[1.79161059]
141,[1.41201662]
142,[0.3264397]
143,[1.26294823]
144,[2.11749658]
145,[0.01990668]
146,[1.31751993]
147,[2.40363681]
148,[1.54799598]
149,[0.54282119]
150,[0.64095232]
151,[2.06755248]
152,[1.1344892]
153,[1.10458777]
154,[0.30466365]
155,[0.45458506]
156,[0.81531244]
