Epoch;Composite Loss;PDE Loss;w0 Loss;wx0 Loss;wL Loss;wxxL Loss;wxxxL Loss
1;0,000610498;0,000305249;0,000165197;1,27E-05;3,59E-05;8,15E-05;4,67E-06
2;0,000240208;0,000120104;8,38E-05;3,74E-06;7,36E-06;2,27E-05;1,51E-06
3;0,000134323;6,72E-05;5,56E-05;2,18E-07;4,73E-06;5,52E-06;1,01E-06
4;0,000111404;5,57E-05;4,90E-05;4,26E-07;2,91E-06;2,57E-06;6,28E-07
5;9,83E-05;4,91E-05;4,52E-05;2,03E-07;2,02E-06;1,21E-06;3,09E-07
6;9,07E-05;4,53E-05;4,26E-05;5,43E-08;1,79E-06;5,38E-07;7,17E-08
7;8,68E-05;4,34E-05;4,10E-05;6,47E-08;1,65E-06;2,84E-07;1,26E-08
8;8,39E-05;4,20E-05;3,92E-05;9,14E-08;1,82E-06;3,13E-07;8,82E-09
9;8,18E-05;4,09E-05;3,76E-05;1,46E-07;1,97E-06;3,91E-07;4,57E-08
10;8,01E-05;4,01E-05;3,64E-05;2,01E-07;2,07E-06;4,45E-07;1,11E-07
11;7,88E-05;3,94E-05;3,54E-05;2,14E-07;2,13E-06;4,92E-07;1,98E-07
12;7,77E-05;3,89E-05;3,46E-05;2,43E-07;2,11E-06;5,42E-07;2,95E-07
13;7,69E-05;3,84E-05;3,39E-05;2,59E-07;2,12E-06;5,93E-07;3,99E-07
14;7,61E-05;3,81E-05;3,33E-05;2,83E-07;2,15E-06;6,29E-07;5,07E-07
15;7,56E-05;3,78E-05;3,27E-05;3,04E-07;2,16E-06;6,65E-07;6,11E-07
16;7,51E-05;3,75E-05;3,22E-05;3,18E-07;2,16E-06;6,98E-07;7,10E-07
17;7,46E-05;3,73E-05;3,18E-05;3,30E-07;2,15E-06;7,17E-07;8,03E-07
18;7,43E-05;3,71E-05;3,15E-05;3,39E-07;2,13E-06;7,32E-07;8,86E-07
19;7,40E-05;3,70E-05;3,12E-05;3,45E-07;2,11E-06;7,43E-07;9,60E-07
20;7,37E-05;3,68E-05;3,10E-05;3,50E-07;2,09E-06;7,50E-07;1,03E-06
21;7,34E-05;3,67E-05;3,08E-05;3,52E-07;2,06E-06;7,53E-07;1,08E-06
22;7,32E-05;3,66E-05;3,06E-05;3,53E-07;2,04E-06;7,53E-07;1,13E-06
23;7,29E-05;3,65E-05;3,04E-05;3,53E-07;2,01E-06;7,50E-07;1,16E-06
24;7,27E-05;3,64E-05;3,03E-05;3,52E-07;1,97E-06;7,46E-07;1,19E-06
25;7,25E-05;3,63E-05;3,02E-05;3,49E-07;1,94E-06;7,39E-07;1,22E-06
26;7,23E-05;3,62E-05;3,01E-05;3,46E-07;1,91E-06;7,32E-07;1,23E-06
27;7,21E-05;3,61E-05;3,00E-05;3,43E-07;1,88E-06;7,23E-07;1,24E-06
28;7,19E-05;3,60E-05;2,99E-05;3,39E-07;1,84E-06;7,14E-07;1,25E-06
29;7,17E-05;3,59E-05;2,98E-05;3,35E-07;1,81E-06;7,04E-07;1,26E-06
30;7,15E-05;3,58E-05;2,97E-05;3,30E-07;1,78E-06;6,94E-07;1,25E-06
31;7,14E-05;3,57E-05;2,97E-05;3,26E-07;1,75E-06;6,84E-07;1,25E-06
32;7,12E-05;3,56E-05;2,96E-05;3,21E-07;1,72E-06;6,73E-07;1,25E-06
33;7,10E-05;3,55E-05;2,96E-05;3,16E-07;1,69E-06;6,63E-07;1,24E-06
34;7,08E-05;3,54E-05;2,95E-05;3,12E-07;1,66E-06;6,53E-07;1,23E-06
