Epoch,Composite Loss,PDE Loss,w0 Loss,wx0 Loss,wL Loss,wxxL Loss,wxxxL Loss
1,0.0003035663685295731,0.00015178318426478654,5.893424167879857e-05,2.661198413989041e-05,3.8224523450480774e-05,1.3882191524317022e-05,4.492322659643833e-06
2,0.00010505490354262292,5.252745177131146e-05,3.2936375646386296e-05,5.8543514569464605e-06,5.730018983740592e-06,2.556236040618387e-06,2.596642161734053e-06
3,6.425684114219621e-05,3.2128420571098104e-05,2.3964092179085128e-05,5.319310503182351e-07,7.820212317710684e-07,7.777361474836653e-07,2.944425432360731e-06
4,4.9891237722476944e-05,2.4945618861238472e-05,1.9312701624585316e-05,2.584096989721729e-07,5.716142936762481e-07,2.7869614882547467e-07,3.111861815341399e-06
5,4.452285065781325e-05,2.2261425328906626e-05,1.7504185962025076e-05,2.3646720137548982e-07,7.023736543487757e-07,1.0477696577027018e-07,3.2707889658922795e-06
6,4.188765160506591e-05,2.0943825802532956e-05,1.6130848962347955e-05,1.1658175935735926e-07,6.195625132932037e-07,7.359518860994285e-08,3.461986807451467e-06
7,4.0502887713955715e-05,2.0251443856977858e-05,1.5603638530592434e-05,4.77485606609207e-08,6.448148042181856e-07,2.8323588807666056e-08,3.499360673231422e-06
8,3.9541359001304954e-05,1.9770679500652477e-05,1.4860141163808294e-05,4.732191882794723e-08,6.32122976185201e-07,4.8534861463167545e-08,3.7680536024709e-06
9,3.8746835343772545e-05,1.9373417671886273e-05,1.4224219739844557e-05,4.331879921437576e-08,6.855004244243901e-07,6.98826738698699e-08,3.9102824302972294e-06
10,3.8072736060712487e-05,1.9036368030356243e-05,1.3731701983488165e-05,4.3894534229593773e-08,7.214545689748775e-07,7.157710513183702e-08,4.047679340146715e-06
11,3.746513539226726e-05,1.8732569515123032e-05,1.3248311006464064e-05,6.097858573639314e-08,7.516732694057282e-07,1.0331852706713107e-07,4.135835297347512e-06
12,3.6880053812637925e-05,1.8440026906318963e-05,1.2851679457526188e-05,6.135137198270968e-08,8.025663191801868e-07,1.0595159949389199e-07,4.199934210191714e-06
